World Number_Robots Assigner Percentage Time Total_Distance Distance_Robot_0 Distance_Robot_1 Distance_Robot_2 Distance_Robot_3 Distance_Robot_4 Distance_Robot_5
office 2 Auction 95.09 218.4 137.12 70.34 66.78 0.0 0.0 0.0 0.0
office 3 Auction 95.04 221.4 268.94 80.80 93.89 94.25 0.0 0.0 0.0
office 3 Auction 95.43 174.3 176.53 16.40 110.88 49.25 0.0 0.0 0.0
office 4 Auction 95.59 208.4 264.35 35.37 62.85 81.67 84.46 0.0 0.0
office 4 Auction 96.48 143.7 240.38 50.43 45.93 62.85 81.17 0.0 0.0
office 2 Hungarian 95.15 218.5 199.79 96.09 103.70 0.0 0.0 0.0 0.0
office 3 Hungarian 95.23 225.5 197.13 14.42 94.17 88.54 0.0 0.0 0.0
office 4 Hungarian 95.03 160.4 185.90 25.99 52.00 42.98 64.94 0.0 0.0
office 4 Hungarian 95.12 133.5 210.35 52.48 37.73 62.02 58.12 0.0 0.0
office 5 Hungarian 95.01 134.4 181.79 46.43 36.38 38.37 56.36 4.24 0.0
office 5 Hungarian 95.79 102.5 205.38 31.12 44.82 42.09 39.63 47.72 0.0
office 6 Hungarian 95.24 270.1 325.27 54.10 47.95 55.32 52.72 51.87 63.30
office 2 Auction 95.22 185.2 127.78 49.23 78.55 0.0 0.0 0.0 0.0
office 3 Auction 95.15 210.8 234.59 91.23 79.45 63.91 0.0 0.0 0.0
office 2 Auction 95.39 276.4 208.97 107.42 101.54 0.0 0.0 0.0 0.0
office 3 Auction 95.03 248.9 323.05 71.22 123.35 128.47 0.0 0.0 0.0
office 4 Auction 95.53 193.8 261.74 75.44 10.59 87.18 88.54 0.0 0.0
office 5 Auction 95.11 125.6 257.41 46.44 32.75 68.00 53.70 56.52 0.0
office 6 Auction 95.46 243.7 272.45 64.35 5.83 5.12 5.71 74.95 116.48
office 2 Auction 96.21 247.1 185.47 100.77 84.70 0.0 0.0 0.0 0.0
office 3 Auction 97.03 171.9 204.92 65.19 63.19 76.53 0.0 0.0 0.0
office 4 Auction 95.58 120.8 195.34 53.84 52.31 46.92 42.27 0.0 0.0
office 5 Auction 95.33 168.2 300.35 43.23 70.31 67.01 75.25 44.55 0.0
office 6 Auction 96.64 165.1 229.06 46.71 50.84 44.08 10.02 47.72 29.69
office 3 Auction 95.21 242.6 286.45 97.96 78.83 109.65 0.0 0.0 0.0
office 4 Auction 96.02 126.5 191.04 33.64 56.96 48.08 52.36 0.0 0.0
office 5 Auction 95.47 157.5 294.72 42.36 76.79 72.44 53.59 49.54 0.0
office 6 Auction 96.45 237.6 249.76 25.14 50.62 10.29 55.18 15.14 93.40
office 2 Auction 95.52 169.8 126.70 76.77 49.93 0.0 0.0 0.0 0.0
office 3 Auction 95.17 235.7 274.39 49.68 123.58 101.13 0.0 0.0 0.0
office 4 Auction 95.71 132.5 199.03 37.87 63.97 49.68 47.50 0.0 0.0
office 6 Auction 95.47 184.3 255.32 16.54 51.17 57.94 51.81 42.26 35.60
